surveillance_network	age_group	signal	lag_weeks	n	corr
RSV-NET	75-84 yr	wili	3	344	0.721045273681799
RSV-NET	75-84 yr	wili	4	343	0.6462304164796853
RSV-NET	75-84 yr	wili	5	342	0.5744175111199856
RSV-NET	75-84 yr	wili	6	341	0.4969442675469445
RSV-NET	75-84 yr	wili	7	340	0.41549995041411647
RSV-NET	75-84 yr	wili	8	339	0.33202008033970615
RSV-NET	85+ yr	rsv_positivity	0	347	0.6455891236356301
RSV-NET	85+ yr	rsv_positivity	1	346	0.7790082956313538
RSV-NET	85+ yr	rsv_positivity	2	345	0.8710883092282175
RSV-NET	85+ yr	rsv_positivity	3	344	0.9244864808305994
RSV-NET	85+ yr	rsv_positivity	4	343	0.935301431327276
RSV-NET	85+ yr	rsv_positivity	5	342	0.9171924765854255
RSV-NET	85+ yr	rsv_positivity	6	341	0.8445156941297051
RSV-NET	85+ yr	rsv_positivity	7	340	0.7511437751285868
RSV-NET	85+ yr	rsv_positivity	8	339	0.6140819326764757
RSV-NET	85+ yr	wili	0	347	0.7932915486787393
RSV-NET	85+ yr	wili	1	346	0.806669089918447
RSV-NET	85+ yr	wili	2	345	0.7758694355646837
RSV-NET	85+ yr	wili	3	344	0.7158338779522317
RSV-NET	85+ yr	wili	4	343	0.6457851337792846
RSV-NET	85+ yr	wili	5	342	0.5768486930973552
RSV-NET	85+ yr	wili	6	341	0.5041244667008915
RSV-NET	85+ yr	wili	7	340	0.4273391690693282
RSV-NET	85+ yr	wili	8	339	0.3442115347438318
RSV-NET	Overall	rsv_positivity	0	347	0.8644146078327041
RSV-NET	Overall	rsv_positivity	1	346	0.9320650760757109
RSV-NET	Overall	rsv_positivity	2	345	0.9523903779717962
RSV-NET	Overall	rsv_positivity	3	344	0.9361185074533389
RSV-NET	Overall	rsv_positivity	4	343	0.8855227525163347
RSV-NET	Overall	rsv_positivity	5	342	0.7955034561154594
RSV-NET	Overall	rsv_positivity	6	341	0.6819492278102804
RSV-NET	Overall	rsv_positivity	7	340	0.5439765775969041
RSV-NET	Overall	rsv_positivity	8	339	0.3931953933487206
RSV-NET	Overall	wili	0	347	0.8094526052467136
RSV-NET	Overall	wili	1	346	0.7622725351384895
RSV-NET	Overall	wili	2	345	0.6869189279597202
RSV-NET	Overall	wili	3	344	0.600223966869392
RSV-NET	Overall	wili	4	343	0.513850792273232
RSV-NET	Overall	wili	5	342	0.4293533007910539
RSV-NET	Overall	wili	6	341	0.34386307106945235
RSV-NET	Overall	wili	7	340	0.26022988165498656
RSV-NET	Overall	wili	8	339	0.17525763957828314
