epiweeks	rsvpos	rsvtest	rsv_positivity
201321	51	3339	0.015274034141958671
201322	33	3065	0.010766721044045677
201323	41	2940	0.013945578231292517
201324	32	2857	0.0112005600280014
201325	26	2669	0.009741476208317721
201326	25	2490	0.010040160642570281
201327	9	1614	0.0055762081784386614
201328	8	1640	0.004878048780487805
201329	13	1602	0.008114856429463172
201330	7	1594	0.00439146800501882
201331	9	1565	0.005750798722044728
201332	11	1564	0.007033248081841432
201333	3	1612	0.0018610421836228288
201334	12	1581	0.007590132827324478
201335	18	1836	0.00980392156862745
201336	28	2062	0.013579049466537343
201337	22	1985	0.011083123425692695
201338	30	2145	0.013986013986013986
201339	45	2331	0.019305019305019305
201340	51	2457	0.020757020757020756
201341	70	2800	0.025
201342	120	3133	0.038301947015639964
201343	173	3146	0.054990464081373175
201344	214	3353	0.06382344169400536
201345	270	3684	0.0732899022801303
201346	332	3892	0.08530318602261049
201347	453	4165	0.10876350540216087
201348	436	3910	0.11150895140664961
201349	571	5013	0.11390384999002594
201350	644	5212	0.12356101304681504
201351	690	5809	0.11878120158374936
201352	845	6084	0.1388888888888889
201401	1016	7615	0.1334208798424163
201402	953	8065	0.11816491010539368
201403	955	8029	0.11894382862124797
201404	980	7567	0.12950971322849214
201405	955	6992	0.13658466819221968
201406	899	6338	0.1418428526349006
201407	851	6139	0.13862192539501547
201408	839	5762	0.14560916348490108
201409	764	5428	0.14075165806927045
201410	697	5205	0.13390970220941403
201411	605	5137	0.11777301927194861
201412	517	4861	0.10635671672495371
201413	400	4663	0.08578168561012224
201414	311	4540	0.0685022026431718
201415	264	4297	0.061438212706539444
201416	225	4179	0.05384063173007897
201417	174	3927	0.04430863254392666
201418	100	3786	0.02641310089804543
201419	88	3620	0.02430939226519337
201420	61	3434	0.017763541059988352
201421	56	3355	0.01669150521609538
201422	40	3265	0.01225114854517611
201423	19	3054	0.006221349050425672
201424	31	2902	0.010682288077188146
201425	18	3943	0.004565051990869896
201426	19	3419	0.005557180462123428
201427	13	3747	0.003469442220443021
201428	20	3936	0.00508130081300813
201429	14	3768	0.0037154989384288748
201430	14	4276	0.003274087932647334
201431	14	3253	0.004303719643406086
201432	11	3541	0.0031064670996893535
201433	11	4590	0.0023965141612200436
201434	15	3421	0.0043846828412744815
201435	23	3889	0.005914116739521728
201436	12	4149	0.0028922631959508315
201437	37	5086	0.007274872198191113
201438	44	5580	0.007885304659498209
201439	63	5523	0.011406844106463879
201440	93	5532	0.016811279826464208
201441	107	5859	0.018262502133469874
201442	138	5967	0.023127199597787834
201443	194	5722	0.03390422929045788
201444	221	5718	0.03864987757957328
201445	316	6173	0.05119066904260489
201446	408	6357	0.06418121755545068
201447	514	6853	0.0750036480373559
201448	584	7095	0.08231148696264975
201449	721	8618	0.08366210257600372
201450	924	10293	0.08976974642961236
201451	1124	12141	0.09257886500288279
201452	1440	12732	0.11310084825636192
201453	1833	13702	0.13377609108159394
201501	1669	13760	0.12129360465116279
201502	1701	12939	0.13146301878043126
201503	1884	12470	0.15108259823576584
201504	2120	12515	0.16939672393128247
201505	2126	12034	0.1766661126807379
201506	2067	11522	0.17939593820517272
201507	1717	10496	0.16358612804878048
201508	1683	9935	0.16940110719677906
201509	1291	8993	0.14355609918825754
201510	1178	9239	0.12750297651260958
201511	907	8783	0.10326767619264489
201512	688	8422	0.08169080978389931
201513	560	8412	0.06657156443176415
201514	445	8339	0.05336371267538074
201515	303	7797	0.03886110042323971
201516	238	7397	0.03217520616466135
201517	197	6716	0.029332936271590233
201518	149	6360	0.02342767295597484
201519	83	6044	0.01373262739907346
201520	79	5636	0.014017033356990774
201521	45	5168	0.008707430340557275
201522	37	4748	0.007792754844144903
201523	34	4644	0.007321274763135229
201524	22	4306	0.005109150023223409
201525	29	4010	0.007231920199501247
201526	27	4016	0.006723107569721116
201527	27	4209	0.006414825374198147
201528	30	3899	0.007694280584765324
201529	24	3980	0.006030150753768844
201530	34	3890	0.008740359897172237
201531	23	3920	0.00586734693877551
201532	29	3915	0.007407407407407408
201533	30	4199	0.00714455822814956
201534	21	4358	0.0048187241854061496
201535	24	4836	0.004962779156327543
201536	33	5413	0.006096434509514133
201537	41	5443	0.00753261069263274
201538	63	5843	0.010782132466198871
201539	59	6549	0.009009009009009009
201540	79	8093	0.00976152230322501
201541	131	8636	0.015169059749884205
201542	161	8964	0.017960731816153503
201543	201	8963	0.02242552716724311
201544	274	9537	0.028730208661004508
201545	357	9821	0.036350677120456164
201546	425	10294	0.04128618612784146
201547	642	9955	0.06449020592667001
201548	767	11098	0.06911155163092449
201549	950	11132	0.0853395616241466
201550	1249	11543	0.10820410638482197
201551	1439	11240	0.12802491103202848
201552	1730	12283	0.14084507042253522
201601	1710	13729	0.12455386408332726
201602	1749	14752	0.11856019522776573
201603	1971	13520	0.14578402366863905
201604	2102	14437	0.1455981159520676
201605	2315	15808	0.14644483805668015
201606	2235	17480	0.1278604118993135
201607	2262	19167	0.11801533886367194
