surveillance_network	age_group	site	n_rows	time_min	time_max	variable	n_missing	frac_missing
RSV-NET	Overall	North Carolina	76	2024-10-05	2026-03-14	rsv_positivity	76	1.0
RSV-NET	Overall	North Carolina	76	2024-10-05	2026-03-14	wili	0	0.0
RSV-NET	Overall	North Carolina	76	2024-10-05	2026-03-14	flu_positivity	0	0.0
RSV-NET	Overall	Oregon	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Oregon	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Oregon	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Oregon	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Oregon	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Oregon	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Overall	2776	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Overall	2776	2018-10-06	2026-03-14	rsvpos	2280	0.8213256484149856
RSV-NET	Overall	Overall	2776	2018-10-06	2026-03-14	rsvtest	2280	0.8213256484149856
RSV-NET	Overall	Overall	2776	2018-10-06	2026-03-14	rsv_positivity	2280	0.8213256484149856
RSV-NET	Overall	Overall	2776	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Overall	2776	2018-10-06	2026-03-14	flu_positivity	1328	0.4783861671469741
RSV-NET	Overall	Tennessee	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Tennessee	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Tennessee	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Tennessee	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Tennessee	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Tennessee	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
